URL_CLOUDINARY,NOM_SEO_OPTIMISE,DESCRIPTION_SEO,ALT_TEXT,CATEGORIE,UTILISATION_RECOMMANDEE
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946633/489A2500_evy0js.jpg,tifinagh-terrasse-montmartre-parasol-rouge-clients.jpg,Terrasse du restaurant Tifinagh avec parasols rouges et clients,Terrasse Tifinagh Montmartre avec parasols rouges la nuit,TERRASSE,Galerie / Accueil
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946633/489A2498_znt3ml.jpg,tifinagh-facade-restaurant-nuit-montmartre.jpg,Façade élégante du restaurant Tifinagh illuminée la nuit,Façade restaurant Tifinagh montmartre avec parasols et lumière chaude,FACADE,Galerie / Hero section alternative
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946633/489A2480_iggqgr.jpg,tifinagh-terrasse-convivialite-clients-soiree.jpg,Clients profitant de la terrasse chaleureuse de Tifinagh,Ambiance conviviale terrasse Tifinagh Montmartre le soir,TERRASSE,Galerie / Réseaux sociaux
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946633/489A2463_jt7lqc.jpg,tifinagh-plat-betteraves-poire-gastronomie.jpg,Plat gastronomique avec betteraves râpées et poire caramélisée,Plat signature Tifinagh betteraves poire et fromage blanc,PLAT,Galerie / Page Menu du Jour
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946633/489A2475_u2q4on.jpg,tifinagh-terrasse-parasol-ambiance-soiree.jpg,Ambiance chaleureuse à la terrasse sous les parasols rouges,Terrasse Tifinagh avec clients parasol rouge Montmartre,TERRASSE,Galerie / Accueil
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946632/489A2472_bwfelb.jpg,tifinagh-plat-signature-sauce-safran-gastronomique.jpg,Plat signature avec sauce safran et décoration fine,Plat gastronomique Tifinagh avec sauce safran et piment rouge,PLAT,Galerie / Menu du Jour / Instagram
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946632/489A2484_yckcxa.jpg,tifinagh-plat-poisson-asperges-cuisine-raffinnee.jpg,Plat raffiné avec poisson blanc et asperges grillées,Plat poisson asperges décoration fine restaurant Tifinagh,PLAT,Galerie / Page Carte
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787938623/tifinagh-restaurant-pigalle-salle-restaurant_m5x7br.jpg,tifinagh-salle-restaurant-pigalle-montmartre.jpg,Salle restaurant élégante avec ambiance chaleureuse,Salle restaurant Tifinagh Montmartre avec décoration rouge et bois,SALLE,Galerie / Privatisation
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946632/489A2436_gqgbkp.jpg,tifinagh-salle-restaurant-rouge-interieur-montmartre.jpg,Salle intérieure avec murs rouges et cristaux,Salle restaurant privée Tifinagh rouge intérieur élégant,SALLE,Galerie / Privatisation / Événements
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946632/489A2437_gkrxlq.jpg,tifinagh-salle-prive-tables-nappe-vichy-restaurant.jpg,Salle avec tables nappes carreaux rouges et blanc,Salle privatisation Tifinagh avec tables nappe vichy bistro,SALLE,Galerie / Privatisation / Page événements
https://res.cloudinary.com/dc9xmxpvv/image/upload/v1787946633/489A2441_yrctak.jpg,tifinagh-salle-evenement-prive-montmartre-restaurant.jpg,Salle d'événement privé élégante et spacieuse,Salle privatisation événement Tifinagh Montmartre restaurant privé,SALLE,Galerie / Privatisation
